"연령별",2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"연령별",기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자),기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자)
"0",76.0,72.3,79.7,0.00565,0.00580,0.00549,100000,100000,100000,99535,99517,99554,7600698,7234707,7966760,565,580,549,76.5,72.9,80.1,0.00531,0.00549,0.00510,100000,100000,100000,99557,99545,99571,7649686,7291419,8008085,531,549,510,76.8,73.4,80.3,0.00506,0.00537,0.00472,100000,100000,100000,99585,99563,99609,7682685,7336547,8029055,506,537,472,77.3,73.8,80.8,0.00512,0.00564,0.00455,100000,100000,100000,99558,99510,99611,7726707,7378657,8075113,512,564,455,77.8,74.3,81.2,0.00468,0.00494,0.00441,100000,100000,100000,99610,99584,99639,7776495,7429789,8123365,468,494,441,78.2,74.9,81.6,0.00413,0.00426,0.00399,100000,100000,100000,99654,99639,99672,7824303,7488570,8160116,413,426,399,78.8,75.4,82.1,0.00383,0.00414,0.00349,100000,100000,100000,99679,99650,99710,7877809,7543914,8211892,383,414,349,79.2,75.9,82.5,0.00350,0.00373,0.00327,100000,100000,100000,99702,99682,99723,7915561,7586124,8245110,350,373,327,79.6,76.2,83.0,0.00336,0.00347,0.00324,100000,100000,100000,99726,99717,99735,7960368,7624613,8296179,336,347,324,80.0,76.7,83.4,0.00315,0.00327,0.00303,100000,100000,100000,99744,99734,99754,8003806,7668494,8339178,315,327,303,80.2,76.8,83.6,0.00323,0.00369,0.00275,100000,100000,100000,99725,99684,99769,8023672,7684104,8363489,323,369,275,80.6,77.3,84.0,0.00305,0.00338,0.00270,100000,100000,100000,99744,99711,99779,8061721,7726239,8397354,305,338,270,80.9,77.6,84.2,0.00291,0.00314,0.00267,100000,100000,100000,99754,99735,99774,8086802,7756754,8416956,291,314,267,81.4,78.1,84.6,0.00294,0.00306,0.00281,100000,100000,100000,99753,99747,99760,8136142,7812423,8459914,294,306,281,81.8,78.6,85.0,0.00300,0.00320,0.00278,100000,100000,100000,99753,99736,99770,8179783,7857844,8501812,300,320,278,82.1,79.0,85.2,0.00272,0.00292,0.00251,100000,100000,100000,99772,99751,99795,8206349,7896096,8516689,272,292,251,82.4,79.3,85.4,0.00281,0.00305,0.00255,100000,100000,100000,99766,99746,99788,8235620,7930488,8540852,281,305,255,82.7,79.7,85.7,0.00274,0.00302,0.00244,100000,100000,100000,99772,99754,99791,8268809,7966993,8570762,274,302,244,82.7,79.7,85.7,0.00281,0.00313,0.00246,100000,100000,100000,99767,99741,99794,8273527,7973723,8573480,281,313,246
"1",75.4,71.8,79.1,0.00174,0.00192,0.00155,99435,99420,99451,397339,397242,397439,7501163,7135190,7867206,173,191,154,75.9,72.3,79.5,0.00162,0.00182,0.00142,99469,99451,99490,397515,397399,397638,7550129,7191874,7908515,161,181,141,76.2,72.8,79.7,0.00173,0.00187,0.00160,99494,99463,99528,397593,397449,397749,7583100,7236984,7929446,172,186,159,76.7,73.2,80.1,0.00138,0.00146,0.00129,99488,99436,99545,397651,397434,397887,7627148,7279147,7975502,137,145,129,77.1,73.7,80.6,0.00133,0.00144,0.00121,99532,99506,99559,397835,397713,397966,7676885,7330205,8023726,132,143,120,77.6,74.2,80.9,0.00118,0.00134,0.00103,99587,99574,99601,398079,398002,398160,7724648,7388932,8060444,118,133,103,78.1,74.8,81.4,0.00116,0.00121,0.00111,99617,99586,99651,398205,398067,398352,7778130,7444264,8112182,116,121,111,78.4,75.1,81.7,0.00109,0.00120,0.00099,99650,99627,99673,398347,398234,398467,7815859,7486442,8145387,109,120,98,78.9,75.5,82.2,0.00100,0.00114,0.00086,99664,99653,99676,398425,398347,398506,7860642,7524896,8196445,100,113,86,79.3,75.9,82.6,0.00090,0.00087,0.00092,99685,99673,99697,398531,398493,398572,7904063,7568760,8239424,90,87,92,79.5,76.1,82.9,0.00084,0.00090,0.00078,99677,99631,99725,398508,398316,398712,7923947,7584420,8263720,84,90,77,79.9,76.5,83.2,0.00085,0.00092,0.00079,99695,99662,99730,398580,398433,398735,7961977,7626529,8297575,85,91,79,80.1,76.8,83.4,0.00082,0.00094,0.00071,99709,99686,99733,398641,398522,398765,7987048,7657019,8317182,82,93,71,80.6,77.4,83.8,0.00074,0.00082,0.00066,99706,99694,99719,398660,398597,398724,8036388,7712675,8360155,74,81,66,81.0,77.8,84.3,0.00063,0.00065,0.00061,99700,99680,99722,398652,398572,398737,8080031,7758108,8402042,63,64,61,81.3,78.2,84.4,0.00064,0.00073,0.00055,99728,99708,99749,398763,398664,398865,8106577,7796345,8416895,64,73,55,81.6,78.5,84.6,0.00062,0.00073,0.00052,99719,99695,99745,398732,398608,398861,8135853,7830742,8441064,62,72,52,81.9,78.9,84.9,0.00060,0.00063,0.00057,99726,99698,99756,398769,398652,398893,8169038,7867239,8470971,60,63,57,82.0,79.0,84.9,0.00054,0.00054,0.00055,99719,99687,99754,398749,398625,398881,8173760,7873982,8473687,54,54,55
"5",71.6,67.9,75.2,0.00124,0.00144,0.00104,99262,99229,99296,495982,495761,496205,7103824,6737948,7469767,123,143,103,72.0,68.4,75.6,0.00114,0.00133,0.00096,99308,99270,99348,496241,496000,496491,7152614,6794475,7510876,113,132,95,72.3,68.9,75.8,0.00113,0.00129,0.00097,99322,99277,99369,496298,496033,496579,7185507,6839536,7531697,112,128,96,72.8,69.3,76.2,0.00099,0.00115,0.00083,99351,99290,99416,496486,496142,496853,7229497,6881713,7577614,98,114,83,73.2,69.8,76.7,0.00096,0.00115,0.00078,99400,99363,99439,496744,496512,496986,7279050,6932492,7625760,96,114,77,73.7,70.3,77.0,0.00087,0.00101,0.00073,99469,99441,99499,497116,496934,497303,7326569,6990930,7662284,87,101,73,74.2,70.8,77.5,0.00076,0.00084,0.00068,99502,99465,99541,497303,497103,497514,7379925,7046197,7713830,76,84,68,74.5,71.2,77.8,0.00073,0.00083,0.00064,99541,99508,99575,497504,497317,497697,7417511,7088208,7746920,73,82,64,74.9,71.6,78.3,0.00066,0.00072,0.00061,99565,99539,99590,497648,497511,497789,7462217,7126550,7797938,66,71,61,75.4,72.0,78.7,0.00068,0.00085,0.00051,99595,99586,99605,497801,497717,497888,7505531,7170267,7840852,68,84,51,75.6,72.2,78.9,0.00053,0.00065,0.00041,99593,99541,99647,497830,497544,498133,7525439,7186104,7865008,53,65,41,75.9,72.6,79.3,0.00049,0.00056,0.00043,99610,99571,99652,497923,497712,498143,7563397,7228096,7898840,49,55,43,76.2,72.9,79.5,0.00056,0.00062,0.00051,99627,99592,99662,497986,497800,498179,7588407,7258497,7918417,56,62,51,76.7,73.4,79.9,0.00053,0.00064,0.00043,99632,99612,99652,498019,497892,498150,7637729,7314078,7961430,53,64,42,77.1,73.9,80.3,0.00043,0.00047,0.00040,99638,99616,99661,498076,497957,498200,7681379,7359536,8003305,43,47,40,77.3,74.2,80.4,0.00043,0.00051,0.00035,99664,99636,99694,498211,498049,498379,7707814,7397680,8018030,43,51,35,77.6,74.6,80.7,0.00044,0.00048,0.00039,99657,99623,99693,498172,497990,498361,7737122,7432135,8042203,43,48,39,78.0,75.0,81.0,0.00044,0.00054,0.00034,99666,99635,99699,498210,498025,498402,7770268,7468587,8072078,44,54,34,78.0,75.0,81.0,0.00037,0.00041,0.00032,99665,99633,99699,498233,498058,498418,7775011,7475357,8074806,37,41,32
"10",66.7,63.0,70.3,0.00102,0.00117,0.00087,99139,99086,99193,495462,495163,495764,6607842,6242187,6973562,101,116,87,67.1,63.5,70.7,0.00095,0.00105,0.00085,99195,99138,99253,495754,495447,496070,6656372,6298475,7014385,95,104,85,67.4,64.0,70.9,0.00087,0.00100,0.00075,99209,99149,99273,495843,495515,496186,6689209,6343503,7035119,87,99,74,67.8,64.4,71.3,0.00076,0.00089,0.00063,99253,99176,99333,496084,495676,496515,6733011,6385572,7080761,75,88,63,68.3,64.8,71.7,0.00075,0.00088,0.00062,99304,99248,99361,496342,496034,496661,6782306,6435980,7128774,75,87,62,68.7,65.4,72.1,0.00074,0.00084,0.00064,99382,99340,99426,496741,496510,496977,6829453,6493996,7164982,73,83,63,69.2,65.9,72.5,0.00071,0.00087,0.00055,99426,99381,99473,496973,496714,497244,6882623,6549095,7216316,71,87,54,69.6,66.3,72.8,0.00067,0.00079,0.00055,99468,99425,99511,497192,496953,497437,6920008,6590891,7249223,66,78,54,70.0,66.6,73.3,0.00063,0.00070,0.00056,99498,99468,99530,497352,497181,497526,6964569,6629038,7300150,63,70,56,70.4,67.1,73.8,0.00066,0.00076,0.00056,99527,99502,99554,497486,497333,497642,7007731,6672550,7342964,66,76,56,70.6,67.2,74.0,0.00063,0.00073,0.00053,99540,99477,99606,497561,497225,497913,7027609,6688560,7366875,63,72,53,71.0,67.6,74.3,0.00062,0.00070,0.00054,99561,99516,99609,497671,497431,497921,7065474,6730384,7400697,61,69,53,71.2,67.9,74.5,0.00053,0.00064,0.00042,99570,99531,99611,497733,497514,497959,7090421,6760697,7420238,53,64,42,71.7,68.5,74.9,0.00048,0.00060,0.00035,99579,99549,99610,497787,497611,497966,7139709,6816186,7463280,47,59,35,72.1,68.9,75.3,0.00044,0.00051,0.00038,99595,99569,99621,497877,497739,498020,7183303,6861579,7505104,44,50,38,72.4,69.3,75.5,0.00043,0.00053,0.00032,99622,99585,99659,498012,497806,498224,7209603,6899632,7519651,42,53,32,72.7,69.6,75.7,0.00041,0.00048,0.00034,99614,99575,99653,497970,497763,498184,7238949,6934144,7543843,41,47,34,73.0,70.0,76.0,0.00041,0.00047,0.00036,99622,99581,99665,498017,497799,498243,7272059,6970562,7573676,41,47,36,73.0,70.1,76.0,0.00048,0.00049,0.00047,99628,99592,99666,498037,497851,498232,7276777,6977299,7576388,48,49,46
"15",61.7,58.1,65.4,0.00229,0.00302,0.00156,99038,98970,99107,494684,494196,495177,6112381,5747024,6477798,227,299,154,62.2,58.6,65.7,0.00200,0.00261,0.00139,99100,99034,99169,495059,494605,495522,6160618,5803028,6518315,198,259,138,62.5,59.0,65.9,0.00177,0.00233,0.00122,99123,99050,99199,495220,494737,495718,6193366,5847987,6538932,176,230,121,62.9,59.4,66.3,0.00184,0.00243,0.00126,99177,99089,99270,495479,494923,496058,6236927,5889896,6584247,183,240,125,63.3,59.9,66.8,0.00157,0.00212,0.00102,99229,99161,99300,495805,495351,496270,6285964,5939947,6632113,156,210,101,63.8,60.4,67.1,0.00155,0.00197,0.00112,99309,99257,99363,496204,495850,496563,6332712,5997485,6668005,154,196,111,64.3,61.0,67.6,0.00148,0.00191,0.00105,99355,99295,99418,496445,496051,496851,6385649,6052381,6719071,147,190,104,64.6,61.3,67.9,0.00161,0.00220,0.00103,99401,99347,99457,496644,496243,497052,6422816,6093937,6751785,160,218,102,65.0,61.7,68.4,0.00147,0.00194,0.00100,99436,99398,99474,496847,496562,497135,6467217,6131858,6802624,146,193,99,65.5,62.1,68.8,0.00154,0.00195,0.00113,99462,99426,99498,496962,496693,497234,6510245,6175217,6845322,153,194,112,65.6,62.3,69.0,0.00144,0.00189,0.00099,99478,99405,99553,497070,496605,497549,6530048,6191335,6868962,143,188,99,66.0,62.7,69.3,0.00139,0.00185,0.00094,99500,99446,99555,497188,496822,497563,6567803,6232953,6902776,139,184,93,66.2,63.0,69.5,0.00126,0.00162,0.00090,99518,99467,99570,497305,496983,497634,6592688,6263183,6922280,125,161,89,66.7,63.5,70.0,0.00114,0.00150,0.00079,99532,99489,99575,497405,497112,497701,6641922,6318575,6965314,114,149,79,67.2,63.9,70.4,0.00125,0.00158,0.00093,99550,99519,99583,497466,497238,497699,6685426,6363840,7007084,124,157,92,67.4,64.3,70.5,0.00102,0.00130,0.00075,99579,99533,99627,497672,497379,497971,6711591,6401826,7021427,102,129,75,67.7,64.7,70.7,0.00107,0.00139,0.00076,99573,99528,99619,497635,497345,497931,6740979,6436382,7045659,107,138,76,68.0,65.0,71.0,0.00101,0.00131,0.00071,99581,99534,99629,497685,497389,497989,6774042,6472763,7075433,100,130,70,68.1,65.1,71.1,0.00105,0.00125,0.00084,99581,99543,99620,497668,497444,497901,6778740,6479448,7078156,105,125,84
