,출생아수,졸업자수,사교육비,인구,직장가입자,지역가입자,사회단체참여율,수출,수입,실질국내총생산(GDP),1인당주거면적,고등교육이수율,원자료,e러닝시장규모,문화여가지출률,지니계수,다문화출생아수,전국 이혼건수 ,TV (%),라디오 (%),신문 (%),유소년부양비,노년부양비,노령화지수,사망자수,실업률,1인가구 비율,혼인건수(건),주택매매가격동향,	맞벌이가구비율,유치원수,어린이집수
2000,640089,558932.0,200400.0,47008111.0,75391264.0,27525025.0,44.8,172267511.0,160481015.0,947394.8,26.2,23.9,26.8,1077041.0,4.16,0.418,13443.0,119455.0,83.9,20.2,22.2,29.4,10.1,34.3,248740.0,4.4,15.5,326104.0,1.9,42.3,19276,8494
2001,559934,558932.0,200400.0,47370164.0,75391264.0,27525025.0,44.8,150439144.0,141097821.0,947394.8,26.2,24.2,19.84,1077041.0,4.16,0.418,13443.0,134608.0,83.9,20.2,22.2,29.0,10.5,36.2,243813.0,4.0,15.5,326104.0,1.9,42.1,20097,8407
2002,496911,558932.0,200400.0,47644736.0,75391264.0,27525025.0,44.8,162470528.0,152126153.0,1020582.4,26.2,26.0,31.2,1077041.0,4.16,0.418,13443.0,144910.0,83.9,20.2,22.2,28.5,11.0,38.6,247524.0,3.3,15.5,326104.0,1.9,42.0,22147,8343
2003,495036,558932.0,200400.0,47892330.0,75391264.0,27525025.0,44.8,193817443.0,178826657.0,1052703.1,26.2,29.5,32.52,1077041.0,4.16,0.418,13443.0,166617.0,83.9,20.2,22.2,27.9,11.5,41.1,246463.0,3.6,15.5,326104.0,1.9,42.0,24142,8292
2004,476958,558932.0,200400.0,48082519.0,75391264.0,27525025.0,38.8,253844672.0,224462687.0,1107416.2,26.2,30.5,43.45,1298484.0,4.16,0.418,13443.0,138932.0,83.9,20.2,22.2,27.3,12.0,43.8,246220.0,3.7,15.5,326104.0,1.9,42.2,26903,8246
2005,438707,558932.0,200400.0,48184561.0,75391264.0,27525025.0,38.8,284418743.0,261238264.0,1155129.7,26.2,31.6,61.13,1470817.0,4.16,0.418,13443.0,128035.0,83.9,20.2,22.2,26.6,12.5,46.8,245874.0,3.7,20.0,326104.0,1.9,42.6,28367,8275
2006,451759,558932.0,200400.0,48438292.0,75391264.0,27525025.0,38.8,325464848.0,309382632.0,1215939.5,26.2,32.9,61.05,1617797.0,4.16,0.418,13443.0,124524.0,83.9,20.2,22.2,25.7,13.0,50.4,244162.0,3.5,20.0,326104.0,1.9,42.6,29233,8290
2007,496822,558932.0,200400.0,48683638.0,75391264.0,27525025.0,39.8,371489086.0,356845733.0,1286458.5,27.8,34.6,96.0,1727057.0,4.13,0.418,13443.0,124072.0,83.9,20.2,22.2,24.8,13.5,54.6,246482.0,3.2,20.0,326104.0,1.9,43.0,30856,8294
2008,465892,558932.0,209095.0,49054708.0,75391264.0,27525025.0,39.8,422007328.0,435274737.0,1325219.3,27.8,36.6,44.6,1870475.0,4.0,0.418,13443.0,116535.0,83.9,20.2,22.2,23.8,14.0,58.8,246113.0,3.2,20.0,326104.0,1.9,43.2,33499,8344
2009,444849,558932.0,216259.0,49307835.0,75391264.0,27525025.0,39.8,363533561.0,323084521.0,1335724.3,28.5,38.7,79.36,2091033.0,4.04,0.418,19024.0,123999.0,83.9,20.2,22.2,22.9,14.4,62.9,246942.0,3.6,20.0,326104.0,1.9,43.0,35550,8373
2010,470171,558932.0,208718.0,49554112.0,88694835.0,30519406.0,46.6,466383762.0,425212160.0,1426618.0,28.5,39.7,91.38,2245833.0,4.25,0.418,20312.0,116858.0,82.6,16.2,18.5,22.0,14.8,67.2,255405.0,3.7,23.9,326104.0,1.9,43.6,38021,8388
2011,471265,558932.0,201266.0,49936638.0,125900203.0,40538413.0,46.6,555213656.0,524413090.0,1479198.4,31.7,40.4,98.83,2451364.0,4.13,0.418,22014.0,114284.0,81.6,14.8,16.5,21.2,15.0,71.0,257396.0,3.4,23.9,329087.0,6.9,44.6,39842,8424
2012,484550,566324.0,190395.0,50199853.0,160836393.0,49573644.0,50.1,547869792.0,519584473.0,1514736.6,31.7,41.7,92.38,2747766.0,4.2,0.411,22908.0,114316.0,81.4,12.5,12.2,20.6,15.6,76.1,267221.0,3.2,23.9,327073.0,0.0,44.0,42527,8538
2013,436455,555142.0,185960.0,50428893.0,184333563.0,53303425.0,50.1,559632434.0,515585515.0,1562673.6,33.5,43.1,98.55,2947083.0,4.28,0.401,21290.0,115292.0,79.4,11.8,10.0,20.0,16.3,81.5,266257.0,3.1,23.9,322807.0,0.3,43.3,43770,8678
2014,435435,557234.0,182297.0,50746659.0,183622983.0,51096341.0,48.9,572664607.0,525514506.0,1612717.5,33.5,44.6,53.22,3214167.0,4.35,0.397,21174.0,115510.0,78.4,9.5,8.2,19.4,16.8,87.0,267692.0,3.5,23.9,305507.0,1.7,44.2,43742,8826
2015,438420,576023.0,178346.0,51014947.0,181165551.0,48949590.0,48.9,526756503.0,436498973.0,1658020.4,33.2,45.5,37.04,3485119.0,4.44,0.396,19729.0,109153.0,76.2,8.9,7.1,18.8,17.5,93.0,275895.0,3.6,27.4,302828.0,3.5,44.1,42517,8930
2016,406243,580695.0,180606.0,51217803.0,169794557.0,45567250.0,49.7,495425940.0,406192887.0,1706880.3,33.2,46.9,43.47,3487574.0,4.53,0.402,19431.0,107328.0,75.4,10.1,6.6,18.3,18.0,98.4,280827.0,3.7,28.1,281635.0,0.7,45.5,41084,8987
2017,357771,574009.0,186703.0,51361911.0,169794557.0,45567250.0,49.7,573694421.0,478478296.0,1760811.5,31.2,47.7,50.85,3699183.0,5.27,0.406,18440.0,106032.0,77.2,10.6,5.2,17.9,18.8,105.1,285534.0,3.7,28.7,264455.0,1.5,44.6,40238,9029
2018,326822,574009.0,194852.0,51606633.0,169794557.0,45567250.0,49.7,604859657.0,535202428.0,1807735.9,31.7,49.0,64.9,3845009.0,5.76,0.402,18079.0,108684.0,76.6,10.1,4.2,17.5,19.6,111.9,298820.0,3.8,29.2,257622.0,1.1,46.3,39171,9021
