id,document,label
265,가고싶었던 흠뻐쇼,2
392,가두려고 하지는 않았나,4
122,가라앉아서,3
166,갈등,3
664,갈등,4
669,갈등에 울다,3
419,갈아타려고,0
382,감기 증상,3
180,감동,2
173,감사,2
182,감사,2
501,감사한,2
366,감수성이 넘치는,2
456,감정 공유,2
55,갑갑하고 억장만 와르르,0
584,강요하는,4
585,거부감,4
41,거지,0
220,걱정,3
543,걱정거리,4
549,걱정스러운 마음과 두려운 생각,4
516,건강,2
229,겁,4
471,격리,0
542,겪어보지 않은 일,4
612,결빙,4
317,결핍,3
178,결혼,2
530,계획 무산,0
678,고뇌와 괴로움,4
597,고립 격리,4
92,고마워,2
197,고마워,2
93,고마웠어요,2
401,고민많은,3
646,고비,4
50,고생하는 학대받는,0
613,고속도로 통제 정체,0
381,고열을 앓고,3
257,고장,0
154,고통,3
683,고통과 공포,4
261,골치아프다,0
29,공격성 폭력성,0
617,공포 조장,4
620,공포나 불안이 부풀려지면서 위축,4
60,공포에 휩싸였어,4
120,공황장애,3
264,괘씸,0
243,괴로운,3
570,괴로운,4
571,괴롭히고 괴롭게 만드는,4
344,괴물과 대결,4
446,교통사고,4
102,구조,3
335,구조대,4
144,구질구질 매달리던,3
472,군기잡고,0
561,궁금함,4
368,귀엽고 예쁘장한,2
53,귀찮은 불편,0
104,그리움 사무치는,3
15,그만둬 닥쳐,0
411,그만해달라고,0
539,극강의 맛,2
452,금품 갈취,0
338,급성 심정지,4
276,긍정,2
377,기괴하거나,4
174,기념,2
414,기다리고 있을거같아,3
196,기대,2
80,기분짱 최고,2
203,기쁜,2
111,기운빠지고 의욕없다,3
531,기운없는,3
511,기침이 심해서,3
326,꺼익꺼익,3
640,꾸미고,2
475,꾹꾹 삼켰다,4
81,꿀 빤,2
350,꿈을 지닌,2
476,끊어냈다,4
63,끔찍한 형벌,4
358,끔찍해질거야,4
66,끝,4
423,끝이 났고,3
353,나눔,2
644,나쁜,0
318,낙심,3
169,낙이없는,3
222,난처,3
175,남편,2
677,노여움,0
295,논다,2
171,놀라서,4
684,놀라움과 열의 그리고 기쁨,2
482,놀랍지도않다,0
375,놀랐었던 기억이,4
385,눈 밟으면서,2
128,눈물 보고싶다,3
105,눈물나서 죽겠다,3
593,늙었구나,3
652,늦어서 미안해,3
57,다친 실종,4
215,달달,2
267,달달구리한 음료,2
214,달콤,2
391,답답하고 속앓이 했을까,0
112,답답하다,3
657,답답하다,0
51,답답해서,0
514,답답해서,4
190,당당,2
421,당부하려고 쓴거다,0
237,당황,4
533,대성통곡,3
425,더러워지니까,0
487,더럽더라,0
303,덕후,2
294,데이트,2
249,도둑,0
588,도움 받지 못했고,4
558,도전,4
532,독감,4
17,돼먹지않은,0
586,두렵고 싫었다,4
117,두통 근육통,3
373,두통에 지끈지끈 아픈,3
605,뒤엉켜있었고 불에 탄 채,4
438,든든한,2
187,들뜬,2
635,등을 돌린,3
304,디저트,2
526,떡볶이 푸짐하게,2
395,떨어져있는,4
626,뛰어넘는 작품,2
547,마음대로 되지 않는,4
575,마음의 동요,4
246,막막,4
566,막막하고 아찔,4
484,막말 폭언한거,0
23,막힌 것만,0
207,만족,2
283,만족,2
300,만족,2
638,말끔하게,2
98,말랑말랑 설레기 시작,2
402,맘에 안드는,3
374,맛이 없어지긴,3
282,맛있게,2
269,맛있는 케이크,2
281,맛있다고,2
499,맛집 탐방,2
524,망설였는데,4
416,망치는 일이 되버리고 ,4
521,맵다,0
330,먹먹,3
270,멋있는,2
486,멍청했지,0
141,메르스,3
325,메마른,3
170,멘붕 충격,4
546,모르는 것도 많고,4
165,모진 상처,3
512,목감기,3
18,몰카의심받아 기분나빠,0
364,몸이 피곤해서,3
59,못구해냈지만,4
389,무계획적,0
223,무기력,3
399,무너져버려서,4
67,무너진다,4
527,무뚝뚝,4
397,무사히 돌아오길,4
62,무서운 형벌,4
65,무서운건 사라진다는,4
74,무서워해요,4
69,무섭다,4
658,무섭다,4
504,문제,0
42,물러날줄도,0
162,미련,3
422,미련한거지,3
323,미안,3
321,미운,3
254,미쳐버리다,0
581,민망하고,0
649,바닥을 치고 있는,4
426,바람펴서 헤어진,0
193,반갑다,2
565,"반겨주는 햇살, 맑은 공기와 하늘, 어둠을 밝혀주는",2
661,"반대, 위반하다",0
556,반신반의,4
591,발이 닿지 않는,4
554,발판을 마련,2
440,밤바다를 보며 영원할 것 같은 별을 따라 걷던 순간,2
379,방학시작,2
14,방해,0
408,배려해주지 못했다는게,3
631,버거웠고,4
94,버틴거,2
22,범죄자 의심한거겠죠,0
630,벗어날 수가 없었다,4
474,변해가는,4
73,병명 악성 뇌종양,4
133,보고싶고 그립고 추악하고 더러워서,3
114,보고싶은,3
519,보름달이 예쁘게,2
648,복수를 다짐하던,0
99,봄,2
244,부끄럽다,0
583,부담이 되거나 거부감,4
508,부서지도록,0
219,부정,0
27,분노,0
248,분노,0
255,분노,0
682,분노했다,0
316,불가능,3
125,불균형 예민 불안한,3
258,불량,0
263,불만,0
12,불만사항,0
11,불만이에요,0
238,불안,3
679,불안,4
503,불안감,4
618,불안감,4
477,불안정,4
609,불에 타버려,4
218,불쾌,0
5,불쾌하다,0
4,불쾌함 혐오스러운 불쾌한 불만거리,0
473,불편한,0
355,불행해질거야,3
619,불황 장기화,4
667,비난받으니 힘들다,4
510,비염,0
236,비참,3
400,비틀거리고,4
622,빛을 발하고,2
449,빡쳤다가,0
260,빡침,0
20,빻은,0
488,뻔뻔하고,0
185,뿌듯,2
278,뿌듯,2
329,사고,3
611,사고 수습,4
602,사고 현장 아비규환,4
610,사고가 컸는지,4
250,사기,0
349,사랑과 성장,2
360,사랑에 빠지는,2
369,사랑하는 널 바라보며 웃는 표정,2
95,사랑해,2
198,사랑해,2
212,사랑해,2
277,사랑해,2
354,사랑했어,2
56,사망 실종,4
627,사망자,4
58,사망한,4
131,사살 자살 죽이는,3
216,사소하게,2
156,사소한 것에서 행복을 찾으니 기분이 좋아,2
637,살고싶지않다,4
393,상처가 되고,4
465,상처가 될때,3
39,상처받을 막말,0
205,상쾌,2
348,새롭고 흥미로우며 따듯함을 안겨주는,2
552,새해다짐,2
388,생각을 깊이 하는,2
557,생각조차,4
442,생생한걸,2
386,생애 처음으로,2
234,서글픈,3
224,서운,3
85,선물을 받아,2
186,설레는,2
200,설렘,2
582,섭섭함,3
285,성공,2
553,성과,2
555,성장하는,2
615,세련된 저렴한 가격 흥행요인,2
458,세상이 무너질 것 같았는데,3
140,세월호 참사,3
288,센스,2
427,소름끼쳐,0
466,소중,2
291,소통 어울리는,2
574,속상한,3
54,속터진다,0
259,수리비,0
370,순수하게 상대를 사랑하고 좋아한다는,2
481,술쳐먹거나 사적으로 쓰는,0
483,스키타러 가자,2
306,스트레스,3
123,스트레스 염증,3
127,스트레스 취약 질병,3
137,슬퍼하고,3
103,슬퍼할,3
239,슬픈,3
457,시간이 지나면 괜찮아진다,3
600,시꺼멓게 뒤엉킨,4
628,시련,4
1,시발 못하는데 빡쳐,0
3,시발 살려줘,0
213,시원,2
500,시험기간,3
256,신경질,0
88,신기하다,2
208,신나는,2
272,신난다,2
560,신년,2
409,신뢰를 쌓아,2
138,신세한탄,3
139,신종플루,3
176,신혼,2
177,신혼집,2
289,실력,2
113,실망,3
233,실망,3
307,실패,3
351,실패,4
537,실패,0
7,실헝하는건..,0
44,싫어,0
518,싫어합니다,0
10,싫은,0
337,심폐소생술을 했으나 숨졌다,3
299,싱글벙글,2
403,싸울때,3
647,싸움에 휘말리며,4
489,싸워서,0
436,싸웠지,3
592,쌀쌀해진,3
632,쓰레기,4
418,쓰레기 같네요,0
485,쓰레기같은,0
226,쓸쓸,3
498,씁쓸함,3
668,씨발 개새끼 쓰레기,0
398,씩씩하게,2
564,아껴주는 가족,2
311,아련,3
601,아수라장,4
671,아쉽다,3
314,아파서,3
142,아프겠다,3
380,아프고 에휴,3
134,아프니,3
372,아프니까,3
136,아프다,3
594,아픈,4
315,아픔,3
251,안갚고,0
413,안돌아올것같아,3
75,안되는거 같다,4
563,안락한,2
210,안심,2
653,안쓰럽다,3
90,안주,2
228,안타깝다,3
454,알바자리가 없어요,3
431,알아가는게 좋았고,2
502,알차게 보냈구나,2
559,알차게 살아온,2
387,애교 많은,2
309,애도,3
217,애정,2
464,애착도 쌓인,2
328,애통,3
179,야식,2
6,약오르다 화나다 노기르 띠다,0
109,약해질까봐,3
598,어긋나며,4
429,어두운,4
674,어려움,4
568,어려워하는,4
320,어렵다,3
673,어렵다,4
2,어이없음,0
433,어지러웠어,4
19,어처구니없어,0
247,억울,0
252,억울하고 화가나는,0
675,억울해,4
151,없어서,3
517,엉망,4
540,에버랜드,2
470,여유 없는,0
520,여행 바다,2
346,연극 오페라 작품,2
608,연기가 뿜어져,4
406,연락두절,0
569,연말을 맞아 보고싶은,2
192,열정,2
275,열정,2
124,염증 만성화,3
340,영화,2
491,옆에 있어 주었다,2
24,예민 짜증,0
34,예민한 유난,0
525,예쁜 카페 세계여행 국내여행 예쁜 숙소 자연풍경,2
666,오열하다,3
287,완성,2
616,완판,2
107,외로움,3
495,외로워서,3
544,외면,4
404,욕,0
450,욕먹고,0
47,욕설 반말 침뱉거나,0
448,욕설과 폭력,4
577,욕심과 욕구,0
434,욕심이 커지는게 ,4
293,용기,2
453,용돈벌이,3
676,우려,4
459,우습고 어이가 없다,0
242,우울,3
645,우울증,4
119,우울증 불안증,3
157,우울증 불안증,3
158,우울증 불안증,3
686,우울한,3
167,우울해요ㅠㅠ,3
76,우한 폐렴 비상,4
548,욱하거나 짜증나는 ,0
324,울기,3
497,울면서,3
235,울적,3
297,웃는,2
290,웃음 감동 선사,2
672,원망,0
101,원하던 합격,2
376,음울해보이는,3
221,의기소침,3
333,의료운,4
72,의심,4
441,의지해서 붙잡고 돌아다니던,2
494,이기적,0
118,이명,3
313,이별,3
362,이쁘고 음악도 아름다웠습니다,2
78,이쁜 선물 받았습니다,2
48,이상한 스트레스 폭발,0
468,이해하지 못하고,4
161,이혼,3
625,인기가 뜨겁다,2
64,인질 총살,4
38,읽씹 참고 참다가,0
130,잃고,3
312,잃고,3
129,잃어버렸을 슬픔,3
417,잃을것 같아서 무서워요,4
52,입냄새 불편해여..,0
302,입덕,2
100,입사,2
562,잊어버리지는,4
461,잊은 척,3
181,자랑,2
359,자유가 좋아,2
490,자존감 낮은,4
405,자존심 깍다,3
641,자책,4
308,자포자기,3
367,잔잔하게,2
32,잘난척,0
636,잘못됐다,3
384,잠을 못이루었더니,3
87,재미있는,2
194,재미있는,2
659,재미있다,2
342,재앙 대전쟁,4
665,적폐,0
96,전역,2
71,전염병,4
607,전쟁터를 연상케 했다,4
227,절망,3
301,정성,2
596,정신적 황폐화,4
480,조급,4
580,조급하고 쫓기는 ,4
576,조급함은 그르친다,4
443,조울증,4
390,존중받아 마땅,2
284,좋고 예쁘고 깔끔,2
639,좋아보였다,2
268,좋아하는 아이스크림,2
507,좋아하는 지인과 카페에서,2
266,좋아하는 카페,2
506,좋아하는 커피,2
271,좋은,2
106,죄이면서 고독,3
685,죄책,4
642,죄책감과 허무함,4
383,주말,2
415,죽고싶을 만큼 힘들다는게,3
310,죽음,3
545,준비가 되었을까,4
183,즐거운,2
84,즐거움 행복감,2
89,즐겁다,2
660,즐겁다,2
681,증오하고 혐오한다,0
37,지끈거리면서 아파,0
225,지루,0
345,지옥,4
163,지울,3
407,지쳐서 헤어지자고,3
241,지친,3
46,진상,0
9,질색하는,0
572,질투,0
121,질환,3
16,집어치워 말이나 돼..,0
363,집중이 흐트러졌었는데,3
467,집착,4
595,집착,0
451,집행유예,0
145,징글징글,3
61,징집 강제 전쟁,4
159,징징대는거,3
199,짜릿,2
30,짜증,0
447,짜증,0
578,짜증 예민,0
680,짜증나고 경멸,0
654,짜증나다,0
515,쫄았다,4
331,쭈구려,3
606,찌그러지고,4
148,찌질,3
35,찌푸려야,0
670,찜찜하다,4
420,찝적대거나하면 뭐라고 할테니,0
31,찢어 버렸을,0
319,찢어놓는,3
445,차갑게 대했을까,4
634,차갑게 떠나갔다,3
643,차단,0
492,참았던,0
253,참을수없다,0
230,창피,3
357,창피해하며 싸우겠지,3
361,찾아온다,2
662,처참하다,4
604,처참했다,4
352,천재,2
155,첫눈 기분좋게 눈속,3
108,체포 힘없고 죄없는 ,3
371,체해서,3
164,초라해질까,3
232,초조,4
97,최고의 선물,2
296,최고의 선물,2
567,최선,2
629,최선을 다하자,2
493,최악,0
463,추억도 쌓고,2
439,추억들을 채워줘서 고마워,2
651,축하해 기뻐요,2
202,충만,2
45,취소,0
168,취업걱정,3
522,취향저격,2
189,친근,2
523,친해지고 싶은,2
70,코로나,4
36,코로나 때문에 오티 새터가 없어졌고,0
33,코로나 우한 폐렴,0
334,코로나19,4
460,쿨한 척 ,3
534,크리스마스,2
589,큰일,4
509,킬러,2
623,타격을 입을,4
110,탈락,3
573,털어놓는 것을 어려워하는,4
590,털이 바짝 서는,4
599,토할까봐,4
332,통증 응급실 사망을 호소,4
469,트러블,0
298,특별한 공연,2
341,특별한 능력,2
343,파괴적인 전쟁,4
305,패배,3
68,펑펑 울 일,4
412,펑펑 울었어,3
82,편안한,2
204,편안한,2
505,평범한 특별한,2
209,평온,2
188,평화,2
280,평화,2
126,폐경기 불균형 불안증,3
444,폐렴으로 미뤄졌는데,4
339,폐쇄조치,4
149,포기하고 떠날까봐 두렵다면서 포기,3
650,포기하면 약해진다,4
633,포기한,3
536,품절,0
115,피곤,3
231,피곤,3
535,피곤,3
428,피눈물 흘리게,0
116,피로감 소화불량,3
273,피맥,2
378,피아노를 치며 노래하는,2
274,피자,2
132,피하기로,3
579,피해,0
624,피해가 예상,4
424,핑계,0
91,하고싶은,2
152,하염없이 기다리다가,3
49,학대 짜증,0
26,한,0
322,한숨,3
327,한숨,3
462,한심해보이는데,0
455,한파,3
538,할인,2
292,함께,2
396,함께,2
435,해가 되었을지도,4
479,해명,0
541,해보지않는 일에 대해 두려운,4
529,해열제,4
77,행복,2
191,행복,2
279,행복,2
86,행복함,2
410,행복해지고싶습니다,2
356,행복해지자,2
663,허망,4
40,허무하고 망가졌어,0
587,허우적거리고,4
621,허위,0
245,허탈,3
135,헐뜯는,3
143,헤어졌냐고,3
550,헤쳐나갈 수 있을까,4
365,헷갈리는,3
160,현타,3
13,혐오하는 건 늦고 게으른거야,0
262,협박,4
603,형체만 남은,4
430,호감을 느꼈던건 눈이 밝아서였을거야,2
513,호전,2
347,호평 영화,2
336,호흡곤란과 가슴통증을 호소,4
240,혼란,3
172,혼인,2
195,홀가분,2
28,화,0
8,화나게,0
655,화내다,0
43,화내면,0
21,화내지도못하고,0
25,화병 화가 짜증 답답함,0
614,화재,4
432,환하게 차있는게 느껴질때면,2
437,환한 달이 뜨면,2
206,활기찬,2
478,횡령,0
496,후폭풍,3
211,훈훈,2
528,휴가,2
394,흉터가 되었다,4
201,흐뭇,2
286,흥겨운 잔치 퍼레이드,2
79,흥미진진,2
184,흥미진진,2
83,희망 외박,2
150,힘든게,3
146,힘들고 아파하고,3
147,힘들긴,3
656,힘들다,3
153,힘들어 울컥하네,3
551,힘들었고 어려웠었다고,4
688,필요없는 생각이 많아서 불면,3
689,열등감이 깨어날,4
690,그립죠,3
691,무시받는,0
692,이겨낸,2
693,돈을 벌어,2
694,여유롭게,2
695,아까웠을까,0
696,결혼식 축가,2
697,아름다운 신부,2
698,먹고싶은거 시켜,2
699,사줄게,2
700,배부른데,2
701,위로받고싶어,3
702,불안속으로,4
703,사랑받고싶어,2
704,빈 집,3
705,널 잊어본적 없어,3
706,그대만을 생각했는걸,3
707,잊었던 거야,3
708,눈물이 흘러,3
709,배신감 느껴,0
710,모르겠어,4
711,할말이 없어,3
712,갈 수도 없어,3
713,두려움에 울고 있지만,3
714,밝혀주는 빛이,2
715,배신감을 느껴,0
716,빛나는 너에게,2
717,대박,2
718,아름다운 별 꿈꾸게 해,2
719,사랑하게 해,2
720,행복이라고 예쁘게 적어본다,2
721,눈부신 바다 숨 쉬게 해,2
722,영원할 순간이 빛나,2
723,특별한 여행을 떠나,2
724,너를 안아 사랑을 담아,2
725,정리하고 싶어,3
726,어렵게 마음 정한거라,4
727,햇살에 일어나 너무나 눈부셔,2
728,깨어지는 환상속에 울고 있는,3
729,떠날거야,3
730,초라하게 갇혀버린,2
731,유쾌하다,2
732,걱정스럽다,4
733,곤란하다,4
734,괘씸하다,0
735,괴롭다,3
736,귀찮다,0
737,두렵다,4
738,마음이 아프다,3
739,가엾다,3
740,긴장되다,4
741,간절하다,3
742,감격스럽다,2
743,감사하고 고맙고 기쁘고 놀랍다,2
744,막막하다,4
745,태도가 못마땅하다,0
746,매서운 표정이 무섭다,4
747,분하다,0
748,불만스럽고 불쾌하다,0
749,갑작스러운 행동에 당황스럽다,4
750,미안하다는 사과,3
751,성과가 만족스럽고 동료가 믿음직스럽다,2
752,속인게 섭섭하다,3
753,실수한것에 실망했다,4
754,치부를 들킨것이 부끄럽다,4
755,배고파서 짜증난다,0
756,시험이 끝나서 홀가분하다,2
757,헷갈리게 하는 게 혼란스럽다,4
758,이벤트가 감동적이다,2
759,소풍 활기차고 편안하며 재미있다,2
760,시험결과가 참담하다,3
761,실망스럽게 거짓말을 했다,0
762,웃어주지 않다니 믿을 수 없어,4
763,순간을 즐기고 싶다,2
764,시험에서 만점을 받아서 좋았다,2
765,미래를 생각하면 기분이 좋다,2
766,울어서 눈이 퉁퉁 부었다,3
767,성적 때문에 괴롭다,3
768,시험을 못 봐서 우울하다,3
769,비가 와서 기분이 울적해졌다,3
770,성적이 어떻게 나올지 걱정이다,4
771,안한게 후회된다,4
772,깜짝 선물 감동적,2
773,칭찬에 감사,2
774,면접에 긴장한,4
775,갑작스러운 등장에 깜짝 놀란,4
776,어려운 당황한,4
777,귀신 무섭다,4
778,불안한,4
779,혼란스러운,4
780,느릿느릿 느린 답답한,0
781,미운놈,0
782,누명에 억울하다,0
783,괴롭힘에 짜증난다,0
784,귀찮은,0
785,싸늘한,4
786,좌절한,4
787,비싸다,0
788,낡다,0
789,좁고 습하다,0
790,북적대다,0
791,쉽다,2
792,맛있다,2
793,안타깝다,4
794,빠르다,2
795,평화로운 정원,2
796,불이 나서 절망스럽다,4
797,의기소침한,4
798,코믹 웃기다,2
799,부수고 싶다,0
800,치유됐다,2
801,완벽한 추천,2
802,위험 훼손,4
803,깔끔하다,2
804,좋다 친절하고 괜찮다 쾌적하다 최고다,2
805,장점은 따뜻,2
806,고급진 맛있다,2
807,허위 충격,0
808,아쉽다,3
809,스트레스,0
810,심각하게 싫다,0
811,불편한 울고싶다,3
812,속상하다,3
813,혼자인게 외롭다,3
814,후회스럽다,3
815,겁나다,4
816,감동하다,2
817,감사하다,2
818,고맙다 만족스럽다,2
819,편안하고 안정된 고요하고 안심된 평화로우면서 여유있는,2
820,화나지만 억울하며 답답하고 당황스럽다,4
821,우울하고 무기력하면서 피곤하고 외롭다,3
822,질투 얄밉다,0
823,괘씸한데 혼내줘야겠다,0
824,가관이다,0
825,가련하다,3
826,가뿐하다,2
827,가소롭다,0
828,가슴아프다,3
829,가슴앓이,3
830,가엾다,3
831,각박하다,3
